oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
0,83,0.8343,0.8442,0.0747,0.1657,0.1558,Medium Low Connected,Medium Low Connected,11,0,0,0,0,42,61,1.45
1,10001,0.8258,0.8359,0.091,0.1742,0.1641,Medium Low Connected,Medium Low Connected,11,2,35,38.9,65,27,85,3.15
2,10002,0.541,0.6496,0.3092,0.459,0.3504,High Connected,High Connected,6,10,243,55.4,24,4,111,27.75
3,10003,0.8002,0.8579,0.0803,0.1998,0.1421,Medium Low Connected,Medium Low Connected,8,2,53,5.2,82,14,94,6.71
4,10004,0.9255,0.9625,0.008,0.0745,0.0375,Low Connected,Low Connected,3,0,0,0,51,1,39,39.00
5,10005,0.9225,0.9575,0.0122,0.0775,0.0425,Low Connected,Low Connected,0,0,0,0,9,3,46,15.33
6,10006,0.9172,0.9504,0.0136,0.0828,0.0496,Low Connected,Low Connected,12,0,0,0,5,0,8,0.00
7,10007,0.8431,0.863,0.0932,0.1569,0.137,Medium Low Connected,Medium Low Connected,9,1,30,30.9,17,1,23,23.00
8,10009,0.6241,0.7681,0.1715,0.3759,0.2319,High Connected,Medium High Connected,5,3,71,12.4,16,1,60,60.00
9,10010,0.8344,0.8525,0.0842,0.1656,0.1475,Medium Low Connected,Medium Low Connected,8,2,45,8,50,7,34,4.86
10,10011,0.8503,0.8611,0.0595,0.1497,0.1389,Low Connected,Medium Low Connected,10,6,123,21.3,110,6,65,10.83
11,10012,0.7959,0.8403,0.112,0.2041,0.1597,Medium Low Connected,Medium Low Connected,8,3,88,19.1,11,5,46,9.20
12,10013,0.7737,0.8144,0.1549,0.2263,0.1856,Medium Low Connected,Medium Low Connected,14,0,0,0,34,10,97,9.70
13,10014,0.8484,0.8677,0.0614,0.1516,0.1323,Low Connected,Low Connected,13,2,34,9.5,26,5,85,17.00
14,10016,0.8458,0.8626,0.0772,0.1542,0.1374,Medium Low Connected,Medium Low Connected,10,3,320,73.8,96,7,76,10.86
15,10017,0.8752,0.9041,0.0393,0.1248,0.0959,Low Connected,Low Connected,12,1,33,9.3,47,10,49,4.90
16,10018,0.8647,0.9002,0.0561,0.1353,0.0998,Low Connected,Low Connected,12,1,176,3.4,29,7,50,7.14
17,10019,0.819,0.8398,0.0899,0.181,0.1602,Medium Low Connected,Medium Low Connected,11,3,146,31.2,83,11,88,8.00
18,10020,0.8072,0.8118,0.1111,0.1928,0.1882,Medium Low Connected,Medium Low Connected,11,0,0,0,2,1,12,12.00
19,10021,0.8581,0.8666,0.0583,0.1419,0.1334,Low Connected,Low Connected,6,3,78,11.3,25,7,58,8.29
20,10022,0.8588,0.8547,0.0699,0.1412,0.1453,Low Connected,Medium Low Connected,9,4,88,20,86,6,76,12.67
21,10023,0.8471,0.8653,0.0655,0.1529,0.1347,Low Connected,Low Connected,8,6,236,30.4,64,7,58,8.29
22,10024,0.8344,0.8594,0.0723,0.1656,0.1406,Medium Low Connected,Medium Low Connected,6,2,74,2.9,64,7,69,9.86
23,10025,0.779,0.8047,0.115,0.221,0.1953,Medium Low Connected,Medium Low Connected,6,6,163,11.8,106,19,82,4.32
24,10026,0.6903,0.755,0.1828,0.3097,0.245,Medium High Connected,Medium High Connected,5,1,33,2.9,39,11,20,1.82
25,10027,0.6778,0.7293,0.196,0.3222,0.2707,High Connected,High Connected,6,10,157,31.5,89,18,57,3.17
