zcta10,stateco,alloc,puma10,pumaname,pop2010,per_in_puma,per_of_puma
10451,36005,x,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",22027,0.482,0.141
10451,36005,,3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",21002,0.459,0.151
10451,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",2684,0.059,0.017
10452,36005,x,3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",71729,0.952,0.515
10452,36005,,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",3642,0.048,0.027
10453,36005,x,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",77074,0.984,0.574
10453,36005,,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",1235,0.016,0.01
10454,36005,x,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",37337,1,0.239
10455,36005,x,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",39665,1,0.254
10456,36005,x,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",42529,0.491,0.264
10456,36005,,3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",40143,0.464,0.288
10456,36005,,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",3875,0.045,0.025
10457,36005,x,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",34042,0.483,0.254
10457,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",30035,0.426,0.186
10457,36005,,3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",6419,0.091,0.046
10458,36005,x,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",47412,0.596,0.372
10458,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",24207,0.305,0.15
10458,36005,,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",7873,0.099,0.059
10459,36005,x,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",29842,0.631,0.191
10459,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",17466,0.369,0.108
10460,36005,x,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",42991,0.75,0.266
10460,36005,,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",9943,0.173,0.055
10460,36005,,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",4377,0.076,0.035
10461,36005,x,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",24412,0.483,0.212
10461,36005,,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",21238,0.421,0.172
10461,36005,,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",4852,0.096,0.027
10462,36005,x,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",41523,0.548,0.229
10462,36005,,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",33700,0.445,0.272
10462,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",561,0.007,0.003
10463,36005,x,3701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",56926,0.838,0.527
10463,36005,,3801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",8463,0.125,0.043
10463,36005,,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",2581,0.038,0.02
10464,36005,x,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",4401,0.971,0.038
10464,36005,,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",133,0.029,0.001
10465,36005,x,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",42021,0.995,0.365
10465,36005,,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",209,0.005,0.001
10466,36005,x,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",67813,1,0.49
10467,36005,x,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",39973,0.412,0.314
10467,36005,,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",32282,0.333,0.261
10467,36005,,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",24805,0.256,0.179
10468,36005,x,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",36204,0.476,0.284
10468,36005,,3701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",28273,0.372,0.261
10468,36005,,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",11626,0.153,0.087
10469,36005,x,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",32167,0.483,0.26
10469,36005,,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",29581,0.444,0.214
10469,36005,,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",3984,0.06,0.035
10469,36005,,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",899,0.013,0.006
10470,36005,x,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",15293,1,0.111
10471,36005,x,3701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",22922,1,0.212
10471,36005,,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",0,0,0
10472,36005,x,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",66358,1,0.366
10473,36005,x,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",58519,1,0.323
10474,36005,x,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",12281,1,0.079
10475,36005,x,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",40196,0.982,0.349
10475,36005,,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",735,0.018,0.005
11201,36047,x,4004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,45719,0.894,0.386
11201,36047,,4005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",5409,0.106,0.051
11203,36047,x,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",60536,0.795,0.446
11203,36047,,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",14828,0.195,0.138
11203,36047,,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,810,0.011,0.004
11204,36047,x,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,49638,0.635,0.273
11204,36047,,4014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",28496,0.365,0.174
11205,36047,x,4004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,28267,0.7,0.238
11205,36047,,4003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,12099,0.3,0.09
11206,36047,x,4003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,37871,0.464,0.282
11206,36047,,4002,NYC-Brooklyn Community District 4--Bushwick,23281,0.285,0.18
11206,36047,,4001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg,20525,0.251,0.139
11207,36047,x,4008,NYC-Brooklyn Community District 5--East New York & Starrett City,45892,0.491,0.297
11207,36047,,4007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,29366,0.314,0.246
11207,36047,,4002,NYC-Brooklyn Community District 4--Bushwick,17408,0.186,0.135
11207,36047,,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,720,0.008,0.004
11208,36047,x,4008,NYC-Brooklyn Community District 5--East New York & Starrett City,94469,1,0.611
11209,36047,x,4013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,68853,1,0.565
11210,36047,x,4015,NYC-Brooklyn Community District 14--Flatbush & Midwood,29799,0.481,0.188
11210,36047,,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,20446,0.33,0.106
11210,36047,,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",11639,0.188,0.086
11210,36047,,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",124,0.002,0.001
11211,36047,x,4001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg,90117,1,0.611
11211,36047,,4004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,0,0,0
11211,36047,,4002,NYC-Brooklyn Community District 4--Bushwick,0,0,0
11212,36047,x,4007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,58562,0.693,0.49
11212,36047,,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",25122,0.297,0.185
11212,36047,,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",816,0.01,0.008
11213,36047,x,4006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,49149,0.771,0.4
11213,36047,,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",14618,0.229,0.136
11214,36047,x,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,80135,0.904,0.441
11214,36047,,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island,8495,0.096,0.074
11215,36047,x,4005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",53511,0.843,0.505
11215,36047,,4012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,9977,0.157,0.068
11216,36047,x,4003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,27628,0.509,0.206
