zipcode,ziptype,postalcity,zcta5,bcode,note,X
10001,ZIP Code area,New York,10001,36061,,NA
10118,Post Office or large volume customer,New York,10001,36061,,NA
10120,Post Office or large volume customer,New York,10001,36061,,NA
10122,Post Office or large volume customer,New York,10001,36061,,NA
10123,Post Office or large volume customer,New York,10001,36061,,NA
10125,Post Office or large volume customer,New York,10001,36061,,NA
10130,Post Office or large volume customer,New York,10001,36061,,NA
10002,ZIP Code area,New York,10002,36061,,NA
10003,ZIP Code area,New York,10003,36061,,NA
10114,Post Office or large volume customer,New York,10003,36061,,NA
10276,Post Office or large volume customer,New York,10003,36061,,NA
10004,ZIP Code area,New York,10004,36061,,NA
10041,Post Office or large volume customer,New York,10004,36061,,NA
10045,Post Office or large volume customer,New York,10004,36061,,NA
10274,Post Office or large volume customer,New York,10004,36061,,NA
10275,Post Office or large volume customer,New York,10004,36061,,NA
10005,ZIP Code area,New York,10005,36061,,NA
10043,Post Office or large volume customer,New York,10005,36061,,NA
10081,Post Office or large volume customer,New York,10005,36061,,NA
10203,Post Office or large volume customer,New York,10005,36061,,NA
10257,Post Office or large volume customer,New York,10005,36061,,NA
10260,Post Office or large volume customer,New York,10005,36061,,NA
10265,Post Office or large volume customer,New York,10005,36061,,NA
10268,Post Office or large volume customer,New York,10005,36061,,NA
10269,Post Office or large volume customer,New York,10005,36061,,NA
10270,Post Office or large volume customer,New York,10005,36061,,NA
10286,Post Office or large volume customer,New York,10005,36061,,NA
10006,ZIP Code area,New York,10006,36061,,NA
10256,Post Office or large volume customer,New York,10006,36061,,NA
10007,ZIP Code area,New York,10007,36061,,NA
10008,Post Office or large volume customer,New York,10007,36061,,NA
10242,Post Office or large volume customer,New York,10007,36061,,NA
10249,Post Office or large volume customer,New York,10007,36061,,NA
10009,ZIP Code area,New York,10009,36061,,NA
10010,ZIP Code area,New York,10010,36061,,NA
10159,Post Office or large volume customer,New York,10010,36061,,NA
10160,Post Office or large volume customer,New York,10010,36061,,NA
10011,ZIP Code area,New York,10011,36061,,NA
10113,Post Office or large volume customer,New York,10011,36061,,NA
10161,Post Office or large volume customer,New York,10011,36061,,NA
10012,ZIP Code area,New York,10012,36061,,NA
10013,ZIP Code area,New York,10013,36061,,NA
10213,Post Office or large volume customer,New York,10013,36061,,NA
10014,ZIP Code area,New York,10014,36061,,NA
10016,ZIP Code area,New York,10016,36061,,NA
10138,Post Office or large volume customer,New York,10016,36061,,NA
10156,Post Office or large volume customer,New York,10016,36061,,NA
10157,Post Office or large volume customer,New York,10016,36061,,NA
10158,Post Office or large volume customer,New York,10016,36061,,NA
10017,ZIP Code area,New York,10017,36061,,NA
10087,Post Office or large volume customer,New York,10017,36061,,NA
10163,Post Office or large volume customer,New York,10017,36061,,NA
10164,Post Office or large volume customer,New York,10017,36061,,NA
10166,Post Office or large volume customer,New York,10017,36061,,NA
10175,Post Office or large volume customer,New York,10017,36061,,NA
10178,Post Office or large volume customer,New York,10017,36061,,NA
10179,Post Office or large volume customer,New York,10017,36061,,NA
10259,Post Office or large volume customer,New York,10017,36061,,NA
10261,Post Office or large volume customer,New York,10017,36061,,NA
10018,ZIP Code area,New York,10018,36061,,NA
10129,Post Office or large volume customer,New York,10018,36061,,NA
10019,ZIP Code area,New York,10019,36061,,NA
10101,Post Office or large volume customer,New York,10019,36061,,NA
10102,Post Office or large volume customer,New York,10019,36061,,NA
10104,Post Office or large volume customer,New York,10019,36061,,NA
10105,Post Office or large volume customer,New York,10019,36061,,NA
10106,Post Office or large volume customer,New York,10019,36061,,NA
10107,Post Office or large volume customer,New York,10019,36061,,NA
10020,ZIP Code area,New York,10020,36061,,NA
10021,ZIP Code area,New York,10021,36061,,NA
10131,Post Office or large volume customer,New York,10021,36061,,NA
10022,ZIP Code area,New York,10022,36061,,NA
10055,Post Office or large volume customer,New York,10022,36061,,NA
10126,Post Office or large volume customer,New York,10022,36061,,NA
10150,Post Office or large volume customer,New York,10022,36061,,NA
10151,Post Office or large volume customer,New York,10022,36061,,NA
10155,Post Office or large volume customer,New York,10022,36061,,NA
10023,ZIP Code area,New York,10023,36061,,NA
10133,Post Office or large volume customer,New York,10023,36061,,NA
10024,ZIP Code area,New York,10024,36061,,NA
10132,Post Office or large volume customer,New York,10024,36061,,NA
10025,ZIP Code area,New York,10025,36061,,NA
10026,ZIP Code area,New York,10026,36061,,NA
10027,ZIP Code area,New York,10027,36061,,NA
10116,Post Office or large volume customer,New York,10027,36061,,NA
10028,ZIP Code area,New York,10028,36061,,NA
10029,ZIP Code area,New York,10029,36061,,NA
10030,ZIP Code area,New York,10030,36061,,NA
10031,ZIP Code area,New York,10031,36061,,NA
10032,ZIP Code area,New York,10032,36061,,NA
10033,ZIP Code area,New York,10033,36061,,NA
10034,ZIP Code area,New York,10034,36061,,NA
10035,ZIP Code area,New York,10035,36061,,NA
10036,ZIP Code area,New York,10036,36061,,NA
10108,Post Office or large volume customer,New York,10036,36061,,NA
10109,Post Office or large volume customer,New York,10036,36061,,NA
10176,Post Office or large volume customer,New York,10036,36061,,NA
10185,Post Office or large volume customer,New York,10036,36061,,NA
10037,ZIP Code area,New York,10037,36061,,NA
10038,ZIP Code area,New York,10038,36061,,NA
10272,Post Office or large volume customer,New York,10038,36061,,NA
10273,Post Office or large volume customer,New York,10038,36061,,NA
10292,Post Office or large volume customer,New York,10038,36061,,NA
10039,ZIP Code area,New York,10039,36061,,NA
10040,ZIP Code area,New York,10040,36061,,NA
10044,ZIP Code area,New York,10044,36061,,NA
10065,ZIP Code area,New York,10065,36061,,NA
10069,ZIP Code area,New York,10069,36061,,NA
10075,ZIP Code area,New York,10075,36061,,NA
10103,Post Office or large volume customer,New York,10103,36061,,NA
10110,Post Office or large volume customer,New York,10110,36061,,NA
10111,Post Office or large volume customer,New York,10111,36061,,NA
10112,Post Office or large volume customer,New York,10112,36061,,NA
10115,Post Office or large volume customer,New York,10115,36061,,NA
10117,Post Office or large volume customer,New York,10119,36061,,NA
10119,Post Office or large volume customer,New York,10119,36061,,NA
10121,Post Office or large volume customer,New York,10119,36061,,NA
10128,ZIP Code area,New York,10128,36061,,NA
10124,Post Office or large volume customer,New York,10152,36061,,NA
10152,Post Office or large volume customer,New York,10152,36061,,NA
10153,Post Office or large volume customer,New York,10153,36061,,NA
10154,Post Office or large volume customer,New York,10154,36061,,NA
10162,Post Office or large volume customer,New York,10162,36061,,NA
10165,Post Office or large volume customer,New York,10165,36061,,NA
10167,Post Office or large volume customer,New York,10167,36061,,NA
10168,Post Office or large volume customer,New York,10168,36061,,NA
10169,Post Office or large volume customer,New York,10169,36061,,NA
10170,Post Office or large volume customer,New York,10170,36061,,NA
10171,Post Office or large volume customer,New York,10171,36061,,NA
10172,Post Office or large volume customer,New York,10172,36061,,NA
10173,Post Office or large volume customer,New York,10173,36061,,NA
10174,Post Office or large volume customer,New York,10174,36061,,NA
10177,Post Office or large volume customer,New York,10177,36061,,NA
10060,Post Office or large volume customer,New York,10199,36061,,NA
